TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  151.53  101.24   90.30  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
TEXTURE AT STRAIN =    0.1000
   1.185   1.337   0.603  <-- length of phase ellipsoid axes
  -61.14    2.52 -166.68  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
  140.86   27.56 -142.75   0.0003500
