TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  133.20  126.22   73.38  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
  157.79   75.34 -159.70   0.0003500
TEXTURE AT STRAIN =    0.1000
   1.308   1.311   0.548  <-- length of phase ellipsoid axes
    8.48    0.52    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
  155.54   71.05 -157.23   0.0003500
